NTS_TILE, NAME, XMIN_LONG, YMAX_LAT
001K11, 0, -53.5, 46.75
001K12, "St Shotts", -54, 46.75
001K13, "St Mary's", -54, 47
001K14, "Biscay Bay River", -53.5, 47
001K15, Renews, -53, 47
001L13, Lamaline, -56, 47
001L14, "St Lawrence", -55.5, 47
001L16, "St Brides", -54.5, 47
001M01, "Ship Cove", -54.5, 47.25
001M02, "Jude Island", -55, 47.25
001M03, Marystown, -55.5, 47.25
001M04, "Grand Bank", -56, 47.25
001M05, "Harbour Breton", -56, 47.5
001M06, "Point Enragee", -55.5, 47.5
001M07, "Baine Harbour", -55, 47.5
001M08, Merasheen, -54.5, 47.5
001M09, "Harbour Buffet", -54.5, 47.75
001M10, Terrenceville, -55, 47.75
001M11, Belleoram, -55.5, 47.75
001M12, Gaultois, -56, 47.75
001M13, "St Alban's", -56, 48
001M14, "Hungry Grove Pond", -55.5, 48
001M15, "Gisborne Lake", -55, 48
001M16, "Sound Island", -54.5, 48
001N02, Ferryland, -53, 47.25
001N03, "St Catherine's", -53.5, 47.25
001N04, Placentia, -54, 47.25
001N05, Argentia, -54, 47.5
001N06, Holyrood, -53.5, 47.5
001N07, "Bay Bulls", -53, 47.5
001N10, "St John's", -53, 47.75
001N11, "Harbour Grace", -53.5, 47.75
001N12, Dildo, -54, 47.75
001N13, Sunnyside, -54, 48
001N14, "Heart's Content", -53.5, 48
001N15, "Pouch Cove", -53, 48
002C02, "Bay De Verde", -53, 48.25
002C03, "Old Perlican", -53.5, 48.25
002C04, "Random Island", -54, 48.25
002C05, "Sweet Bay", -54, 48.5
002C06, Trinity, -53.5, 48.5
002C10, " ", -53, 48.75
002C11, Bonavista, -53.5, 48.75
002C12, Eastport, -54, 48.75
002C13, "St Brendan's", -54, 49
002C14, "Part Of 002C13", -53.5, 49
002D01, "Tug Pond", -54.5, 48.25
002D02, "Meta Pond", -55, 48.25
002D03, "Mount Sylvester", -55.5, 48.25
002D04, "Twillick Brook", -56, 48.25
002D05, "Burnt Hill", -56, 48.5
002D06, "Great Gull Lake", -55.5, 48.5
002D07, "Kepenkeck Lake", -55, 48.5
002D08, "Port Blandford", -54.5, 48.5
002D09, Glovertown, -54.5, 48.75
002D10, "Dead Wolf Pond", -55, 48.75
002D11, "Eastern Pond", -55.5, 48.75
002D12, "Miguels Lake", -56, 48.75
002D13, "Grand Falls", -56, 49
002D14, "Mount Peyton", -55.5, 49
002D15, Gander, -55, 49
002D16, Gambo, -54.5, 49
002E01, "Weir's Pond", -54.5, 49.25
002E02, "Gander River", -55, 49.25
002E03, Botwood, -55.5, 49.25
002E04, "Hodges Hill", -56, 49.25
002E05, "Roberts Arm", -56, 49.5
002E06, "Point Leamington", -55.5, 49.5
002E07, "Comfort Covenewstead", -55, 49.5
002E08, Carmanville, -54.5, 49.5
002E09, Fogo, -54.5, 49.75
002E10, Twillingate, -55, 49.75
002E11, Exploits, -55.5, 49.75
002E12, "Little Bay Island", -56, 49.75
002E13, "Nippers Harbour", -56, 50
002E14, "Cape St John", -55.5, 50
002E16, "Little Fogo Island", -54.5, 50
002F03, "Cabot Islands", -53.5, 49.25
002F04, Wesleyville, -54, 49.25
002F05, "Musgrave Harbour", -54, 49.5
002F06, "Part Of 002F05", -53.5, 49.5
002F12, "Wadham Islands", -54, 49.75
002L03, " ", -55.5, 50.25
002L04, "Horse Islands", -56, 50.25
002L11, " ", -55.5, 50.75
002L12, "Grey Islands Harbour", -56, 50.75
002L13, "Groais Island", -56, 51
002L14, "Part Of 002L13", -55.5, 51
002M04, "St Julien S", -56, 51.25
002M05, "St Anthony", -56, 51.5
002M06, "Part Of 002M05", -55.5, 51.5
002M11, Quirpon, -55.5, 51.75
002M12, Raleigh, -56, 51.75
002M13, "Chateau Point", -56, 52
002M14, "Belle Isle", -55.5, 52
003D03, "Part Of 002M14", -55.5, 52.25
003D04, "St Peter Bay", -56, 52.25
003D05, "Fox Harbour", -56, 52.5
003D12, "Francis Harbour", -56, 52.75
003D13, "Snug Harbour", -56, 53
003E04, "Comfort Bight", -56, 53.25
003E05, Batteau, -56, 53.5
003E12, "Ferret Islands", -56, 53.75
010N16, "Part Of 010O13", -60.5, 44
010N16, "Part Of 010O13", -60, 44
010O13, "Sable Island", -60, 44
011B04, "Part Of 010O13", -60, 44.25
011C13, "Part Of 011F04", -62, 45
011D05, Sambro, -64, 44.5
011D10, "Owls Head", -63, 44.75
011D11, "West Chezzetcook", -63.5, 44.75
011D12, Halifax, -64, 44.75
011D13, "Mount Uniacke", -64, 45
011D14, "Musquodoboit Harbour", -63.5, 45
011D15, Tangier, -63, 45
011D16, "Ecum Secum", -62.5, 45
011E01, Liscomb, -62.5, 45.25
011E02, "Upper Musquodoboit", -63, 45.25
011E03, Shubenacadie, -63.5, 45.25
011E04, Kennetcook, -64, 45.25
011E05, "Bass River", -64, 45.5
011E06, Truro, -63.5, 45.5
011E07, Hopewell, -63, 45.5
011E08, Lochaber, -62.5, 45.5
011E09, Merigomish, -62.5, 45.75
011E10, "New Glasgow", -63, 45.75
011E11, Tatamagouche, -63.5, 45.75
011E12, Oxford, -64, 45.75
011E13, Pugwash, -64, 46
011E14, Malagash, -63.5, 46
011E15, "Pictou Island", -63, 46
011E16, "Malignant Cove", -62.5, 46
011F02, "Part Of 011F07", -61, 45.25
011F03, "Larrys River", -61.5, 45.25
011F04, "Country Harbour", -62, 45.25
011F05, Guysborough, -62, 45.5
011F06, "Chedabucto Bay", -61.5, 45.5
011F07, "Cape Canso", -61, 45.5
011F09, Framboise, -60.5, 45.75
011F10, "St Peter's", -61, 45.75
011F11, "Port Hawkesbury", -61.5, 45.75
011F12, Antigonish, -62, 45.75
011F13, "Cape George", -62, 46
011F14, Whycocomagh, -61.5, 46
011F15, "Grand Narrows", -61, 46
011F16, "Mira River", -60.5, 46
011G13, Louisbourg, -60, 46
011I16, "Ile De St-Pierre", -56.5, 47
011J04, "Glace Bay", -60, 46.25
011K01, Sydney, -60.5, 46.25
011K02, Baddeck, -61, 46.25
011K03, "Lake Ainslie", -61.5, 46.25
011K04, "Port Hood", -62, 46.25
011K05, "Part Of 011L08", -62, 46.5
011K06, Margaree, -61.5, 46.5
011K07, "St Anns Harbour", -61, 46.5
011K08, "Bras D'or", -60.5, 46.5
011K09, Ingonish, -60.5, 46.75
011K10, "Cheticamp River", -61, 46.75
011K11, Cheticamp, -61.5, 46.75
011K15, "Pleasant Bay", -61, 47
011K16, Dingwall, -60.5, 47
011L01, "Boughton Island", -62.5, 46.25
011L02, Montague, -63, 46.25
011L03, Charlottetown, -63.5, 46.25
011L04, "Cape Tormentine", -64, 46.25
011L05, Summerside, -64, 46.5
011L06, "North Rustico", -63.5, 46.5
011L07, "Mount Stewart", -63, 46.5
011L08, Souris, -62.5, 46.5
011L11, "Part Of 011L06 And 12", -63.5, 46.75
011L12, Malpeque, -64, 46.75
011L13, "Part Of 021I16", -64, 47
011M01, "Part Of 011N04", -62.5, 47.25
011M04, "Part Of 021P01", -64, 47.25
011M08, "Part Of 011N05", -62.5, 47.5
011N01, "Cape North", -60.5, 47.25
011N02, "Cape St Lawrence", -61, 47.25
011N04, Havre-Aubert, -62, 47.25
011N05, "I Du Cap Aux Meules", -62, 47.5
011N11, "Ile De L'est", -61.5, 47.75
011N12, "Part Of 011N11", -62, 47.75
011N13, "Part Of 011N14", -62, 48
011N14, "Ile Brion", -61.5, 48
011O09, "La Poile", -58.5, 47.75
011O10, "Rose Blanche", -59, 47.75
011O11, "Port Aux Basques", -59.5, 47.75
011O14, Codroy, -59.5, 48
011O15, "Grandys Lake", -59, 48
011O16, "La Poile River", -58.5, 48
011P01, "Grande Miquelon", -56.5, 47.25
011P08, "Pass Island", -56.5, 47.5
011P09, "Facheux Bay", -56.5, 47.75
011P10, "Cape La Hune", -57, 47.75
011P11, Ramea, -57.5, 47.75
011P12, Burgeo, -58, 47.75
011P13, "Peter Snout", -58, 48
011P14, "White Bear River", -57.5, 48
011P15, "Dolland Brook", -57, 48
011P16, "D'espoir Brook", -56.5, 48
012A01, "Cold Spring Pond", -56.5, 48.25
012A02, "Wolf Mountain", -57, 48.25
012A03, "Burnt Pond", -57.5, 48.25
012A04, "King George Iv Lake", -58, 48.25
012A05, "Puddle Pond", -58, 48.5
012A06, "Victoria Lake", -57.5, 48.5
012A07, "Snowshoe Pond", -57, 48.5
012A08, "Great Burnt Lake", -56.5, 48.5
012A09, "Noel Paul's Brook", -56.5, 48.75
012A10, "Lake Ambrose", -57, 48.75
012A11, "Star Lake", -57.5, 48.75
012A12, "Little Grand Lake", -58, 48.75
012A13, "Corner Brook", -58, 49
012A14, "Rainy Lake", -57.5, 49
012A15, Buchans, -57, 49
012A16, Badger, -56.5, 49
012B01, "Dashwoods Pond", -58.5, 48.25
012B02, "St Fintan's", -59, 48.25
012B03, "Little Friars Cove", -59.5, 48.25
012B06, "Cape St George", -59.5, 48.5
012B07, "Flat Bay", -59, 48.5
012B08, "Main Gut", -58.5, 48.5
012B09, "Harrys River", -58.5, 48.75
012B10, Stephenville, -59, 48.75
012B11, Mainland, -59.5, 48.75
012B15, "Shag Island", -59, 49
012B16, "Georges Lake", -58.5, 49
012E01, "Escarpement Bagot", -62.5, 49.25
012E02, "Riviere Bilodeau", -63, 49.25
012E03, "Riviere Chicotte", -63.5, 49.25
012E05, "Anse Gibbons", -64, 49.5
012E06, "Riviere Galiote", -63.5, 49.5
012E07, "Lac Rainsford", -63, 49.5
012E08, "Grande Baie Broom", -62.5, 49.5
012E09, "Pointe De La Tour", -62.5, 49.75
012E10, "Pointe Carleton", -63, 49.75
012E11, "Lac Wickenden", -63.5, 49.75
012E12, "Riviere Au Fusil", -64, 49.75
012E13, "Lac Faure", -64, 50
012E14, "Anse De La Sauvagesse", -63.5, 50
012F04, "Pointe Heath", -62, 49.25
012F05, "Cap De La Table", -62, 49.5
012G01, "Bay Of Islands", -58.5, 49.25
012G02, "Part Of 012G01 W", -59, 49.25
012G08, "Trout River", -58.5, 49.5
012G09, "Skinner Cove", -58.5, 49.75
012H01, "Dawes Pond", -56.5, 49.25
012H02, "The Topsails", -57, 49.25
012H03, "Deer Lake", -57.5, 49.25
012H04, Pasadena, -58, 49.25
012H05, Lomond, -58, 49.5
012H06, Cormack, -57.5, 49.5
012H07, "Sheffield Lake", -57, 49.5
012H08, Springdale, -56.5, 49.5
012H09, "King's Point", -56.5, 49.75
012H10, Hampden, -57, 49.75
012H11, "Silver Mountain", -57.5, 49.75
012H12, "Gros Morne", -58, 49.75
012H13, "St Pauls Inlet", -58, 50
012H14, "Main River", -57.5, 50
012H15, "Jackson's Arm", -57, 50
012H16, "Baie Verte", -56.5, 50
012I01, "Fleur De Lys", -56.5, 50.25
012I02, "Cat Arm River", -57, 50.25
012I03, "Indian Lookout", -57.5, 50.25
012I04, "Portland Creek", -58, 50.25
012I05, "Part Of 012I06", -58, 50.5
012I06, Bellburns, -57.5, 50.5
012I07, "Harbour Deep", -57, 50.5
012I08, "Great Harbour Deep", -56.5, 50.5
012I09, Englee, -56.5, 50.75
012I10, "Torrent River", -57, 50.75
012I11, "Port Saunders", -57.5, 50.75
012I14, "St John Island", -57.5, 51
012I15, "Castors River", -57, 51
012I16, Roddickton, -56.5, 51
012J04, "Part Of 012K01", -60, 50.25
012J05, Etamamiou, -60, 50.5
012J06, "Part Of 012J05", -59.5, 50.5
012J10, "Iles Aux Marmettes", -59, 50.75
012J11, Tete-A-La-Baleine, -59.5, 50.75
012J12, "Lac Triquet", -60, 50.75
012J13, "Lac Nesle", -60, 51
012J14, Baie-Des-Moutons, -59.5, 51
012J15, "La Tabatiere", -59, 51
012K01, "Baie Des Loups", -60.5, 50.25
012K02, Gethsemani, -61, 50.25
012K03, Kegashka, -61.5, 50.25
012K04, Natashquan, -62, 50.25
012K05, "Lac Paimpont", -62, 50.5
012K06, "Lac Kegashka", -61.5, 50.5
012K07, "Lac Washicoutai", -61, 50.5
012K08, "Lac Coaco Achou", -60.5, 50.5
012K09, "Lac Wabouchagamou", -60.5, 50.75
012K10, "Lac Cauchy", -61, 50.75
012K11, "Lac D'auteuil", -61.5, 50.75
012K12, "Lac Victor", -62, 50.75
012K13, "Lac Rancin", -62, 51
012K14, "Lac Durocher", -61.5, 51
