"Index-id"        "Tile-name"        "Location"
1        117C09        z:\arcdata\50k\lims\117c\117c09
2        117D12        z:\arcdata\50k\lims\117d\117d12
3        117C08        z:\arcdata\50k\lims\117c\117c08
4        117D05        z:\arcdata\50k\lims\117d\117d05
5        117D06        z:\arcdata\50k\lims\117d\117d06
6        117C01        z:\arcdata\50k\lims\117c\117c01
7        117D04        z:\arcdata\50k\lims\117d\117d04
8        117D03        z:\arcdata\50k\lims\117d\117d03
9        117D02        z:\arcdata\50k\lims\117d\117d02
10        117B16        z:\arcdata\50k\lims\117b\117b16
11        117A13        z:\arcdata\50k\lims\117a\117a13
12        117A14        z:\arcdata\50k\lims\117a\117a14
13        117A15        z:\arcdata\50k\lims\117a\117a15
14        117A16        z:\arcdata\50k\lims\117a\117a16
15        117B09        z:\arcdata\50k\lims\117b\117b09
16        117A12        z:\arcdata\50k\lims\117a\117a12
17        117A11        z:\arcdata\50k\lims\117a\117a11
18        117A10        z:\arcdata\50k\lims\117a\117a10
19        117A09        z:\arcdata\50k\lims\117a\117a09
20        117B08        z:\arcdata\50k\lims\117b\117b08
21        117A05        z:\arcdata\50k\lims\117a\117a05
22        117A06        z:\arcdata\50k\lims\117a\117a06
23        117A07        z:\arcdata\50k\lims\117a\117a07
24        117A08        z:\arcdata\50k\lims\117a\117a08
25        117B01        z:\arcdata\50k\lims\117b\117b01
26        117A04        z:\arcdata\50k\lims\117a\117a04
27        117A03        z:\arcdata\50k\lims\117a\117a03
28        117A02        z:\arcdata\50k\lims\117a\117a02
29        117A01        z:\arcdata\50k\lims\117a\117a01
36        116P13        z:\arcdata\50k\lims\116p\116p13
37        116P14        z:\arcdata\50k\lims\116p\116p14
38        116P15        z:\arcdata\50k\lims\116p\116p15
39        116P16        z:\arcdata\50k\lims\116p\116p16
46        116P12        z:\arcdata\50k\lims\116p\116p12
47        116P11        z:\arcdata\50k\lims\116p\116p11
48        116P10        z:\arcdata\50k\lims\116p\116p10
49        116P09        z:\arcdata\50k\lims\116p\116p09
56        116O08        z:\arcdata\50k\lims\116o\116o08
57        116P05        z:\arcdata\50k\lims\116p\116p05
58        116P06        z:\arcdata\50k\lims\116p\116p06
59        116P07        z:\arcdata\50k\lims\116p\116p07
60        116P08        z:\arcdata\50k\lims\116p\116p08
68        116P04        z:\arcdata\50k\lims\116p\116p04
69        116P03        z:\arcdata\50k\lims\116p\116p03
70        116P02        z:\arcdata\50k\lims\116p\116p02
77        116K15        z:\arcdata\50k\lims\116k\116k15
78        116K16        z:\arcdata\50k\lims\116k\116k16
79        116J13        z:\arcdata\50k\lims\116j\116j13
80        116J14        z:\arcdata\50k\lims\116j\116j14
81        116J15        z:\arcdata\50k\lims\116j\116j15
82        116J16        z:\arcdata\50k\lims\116j\116j16
83        116I13        z:\arcdata\50k\lims\116i\116i13
84        116I14        z:\arcdata\50k\lims\116i\116i14
85        116I15        z:\arcdata\50k\lims\116i\116i15
91        106K13        z:\arcdata\50k\lims\106k\106k13
93        116K10        z:\arcdata\50k\lims\116k\116k10
94        116K09        z:\arcdata\50k\lims\116k\116k09
95        116J12        z:\arcdata\50k\lims\116j\116j12
96        116J11        z:\arcdata\50k\lims\116j\116j11
97        116J10        z:\arcdata\50k\lims\116j\116j10
98        116J09        z:\arcdata\50k\lims\116j\116j09
99        116I12        z:\arcdata\50k\lims\116i\116i12
100        116I11        z:\arcdata\50k\lims\116i\116i11
107        106K12        z:\arcdata\50k\lims\106k\106k12
109        116K07        z:\arcdata\50k\lims\116k\116k07
110        116K08        z:\arcdata\50k\lims\116k\116k08
111        116J05        z:\arcdata\50k\lims\116j\116j05
112        116J06        z:\arcdata\50k\lims\116j\116j06
113        116J07        z:\arcdata\50k\lims\116j\116j07
114        116J08        z:\arcdata\50k\lims\116j\116j08
115        116I05        z:\arcdata\50k\lims\116i\116i05
116        116I06        z:\arcdata\50k\lims\116i\116i06
123        106K05        z:\arcdata\50k\lims\106k\106k05
125        116K02        z:\arcdata\50k\lims\116k\116k02
126        116K01        z:\arcdata\50k\lims\116k\116k01
127        116J04        z:\arcdata\50k\lims\116j\116j04
128        116J03        z:\arcdata\50k\lims\116j\116j03
129        116J02        z:\arcdata\50k\lims\116j\116j02
130        116J01        z:\arcdata\50k\lims\116j\116j01
131        116I04        z:\arcdata\50k\lims\116i\116i04
134        116I01        z:\arcdata\50k\lims\116i\116i01
136        106L03        z:\arcdata\50k\lims\106l\106l03
137        106L02        z:\arcdata\50k\lims\106l\106l02
138        106L01        z:\arcdata\50k\lims\106l\106l01
139        106K04        z:\arcdata\50k\lims\106k\106k04
140        116F15        z:\arcdata\50k\lims\116f\116f15
144        116F16        z:\arcdata\50k\lims\116f\116f16
145        116G13        z:\arcdata\50k\lims\116g\116g13
146        116G14        z:\arcdata\50k\lims\116g\116g14
147        116G15        z:\arcdata\50k\lims\116g\116g15
153        106E13        z:\arcdata\50k\lims\106e\106e13
154        106E14        z:\arcdata\50k\lims\106e\106e14
155        106E15        z:\arcdata\50k\lims\106e\106e15
156        106E16        z:\arcdata\50k\lims\106e\106e16
157        106F13        z:\arcdata\50k\lims\106f\106f13
159        106F14        z:\arcdata\50k\lims\106f\106f14
161        106F16        z:\arcdata\50k\lims\106f\106f16
160        106F15        z:\arcdata\50k\lims\106f\106f15
